suburb,price
Abbotsbury,1507833.3333333333
Abbotsford,2039428.5714285714
Acacia Gardens,1223100.1
Alexandria,1452538.4615384615
Alfords Point,1573800.0
Allambie Heights,2060804.5454545454
Allawah,1623428.5714285714
Ambarvale,607333.3333333334
Annandale,2277750.0
Arncliffe,1697490.9090909092
Artarmon,2903875.0
Ashbury,2038857.142857143
Ashcroft,1126666.6666666667
Ashfield,1736560.0
Asquith,1461343.75
Auburn,1170275.8620689656
Avalon Beach,2067931.0344827587
Avoca Beach,1723297.8387096773
Balgowlah,2380650.0
Balgowlah Heights,2621666.6666666665
Balmain,2308153.846153846
Balmain East,2893888.888888889
Bangor,1572333.3333333333
Banksia,1470100.0
Bankstown,928269.3333333334
Barangaroo,2800000.0
Bardia,1046666.6666666666
Bardwell Park,1438555.5555555555
Bardwell Valley,1530416.6666666667
Bass Hill,972600.0
Bateau Bay,974169.1176470588
Baulkham Hills,1613704.8813559322
Bayview,2331000.0
Beacon Hill,1825796.2962962964
Beaconsfield,1765714.2857142857
Beaumont Hills,1635636.3636363635
Beecroft,1813854.5454545454
Belfield,1835117.6470588236
Bella Vista,2049478.142857143
Bellevue Hill,1197000.0
Belmore,1597720.0
Belrose,2050464.44
Bensville,1055674.0740740742
Berala,1268500.0
Berkeley Vale,695480.0
Berowra,1411038.4615384615
Berowra Heights,1389950.0
Beverley Park,2066687.5
Beverly Hills,1457263.1578947369
Bexley,1484320.0
Bexley North,1719800.0
Bilgola Beach,3360000.0
Bilgola Plateau,2072012.4736842106
Birchgrove,2484684.210526316
Birrong,1204000.0
Blacktown,971850.4230769231
Blackwall,1251461.5384615385
Blair Athol,1023000.0
Blakehurst,2167040.0
Blaxland,968743.71875
Bligh Park,931888.8888888889
Blue Bay,2116250.0
Blue Haven,559875.0
Bondi,2612555.5555555555
Bondi Beach,1925000.0
Bondi Junction,1931181.8181818181
Bonnet Bay,1865545.4545454546
Bonnyrigg,1220000.0
Bonnyrigg Heights,1211600.0
Booker Bay,1817125.0
Bossley Park,1042344.8275862068
Botany,1713750.0
Bow Bowing,1230000.0
Bradbury,577937.5
Breakfast Point,2346923.076923077
Bronte,3125000.0
Brookvale,1458125.0
Budgewoi,761057.6923076923
Buff Point,753535.7142857143
Bungarribee,1182666.6666666667
Burraneer,2360142.8571428573
Burwood,2092842.105263158
Burwood Heights,2068333.3333333333
Cabarita,2090375.0
Cabramatta,1274933.3333333333
Cabramatta West,1313750.0
Caddens,1204250.0
Cambridge Gardens,1090000.0
Cambridge Park,791166.6666666666
Camden,1122500.0
Camden Park,1386976.3333333333
Camden South,911244.4444444445
Cammeray,2374545.4545454546
Campbelltown,869350.0
Camperdown,1718894.7368421052
Campsie,2081326.0869565217
Canada Bay,1857000.0
Canley Heights,1211527.7777777778
Canley Vale,1254300.0
Canterbury,1416941.1764705882
Canton Beach,1169500.0
Caringbah,1432600.0
Caringbah South,1810580.6451612904
Carlingford,1764776.3157894737
Carlton,1558347.8260869565
Carnes Hill,1299000.0
Carramar,1262500.0
Carss Park,1830125.0
Castle Cove,2888173.3333333335
Castle Hill,1933501.6393442622
Castlecrag,3385000.0
Casula,1098785.7142857143
Cawdor,1605000.0
Cecil Hills,1496480.7692307692
Centennial Park,2430000.0
Chain Valley Bay,1296666.6666666667
Charmhaven,772300.0
Chatswood,2237003.703703704
Chatswood West,1650000.0
Cheltenham,2216769.230769231
Cherrybrook,1757775.6756756757
Chester Hill,1112175.0
Chifley,2102939.2
Chippendale,1955552.857142857
Chipping Norton,1110274.1935483871
Chiswick,2633571.4285714286
Chittaway Bay,836830.0
Chittaway Point,1541666.6666666667
Church Point,2074023.8095238095
Claremont Meadows,1081980.0
Clareville,2548928.5714285714
Clemton Park,1619909.0909090908
Clontarf,2986750.0
Clovelly,3261250.0
Cobbitty,1234428.5714285714
Colebee,949271.4285714285
Collaroy,2331522.727272727
Collaroy Plateau,1897120.0
Colyton,624250.0
Como,1659791.6666666667
Concord,2133500.0
Concord West,2229687.5
Condell Park,1235388.888888889
Connells Point,1966117.6470588236
Constitution Hill,1519550.0
Coogee,2389750.0
Copacabana,1842648.6486486488
Cranebrook,834878.2291666666
Cremorne,2459000.0
Cremorne Point,2059000.0
Cromer,1990115.3846153845
Cronulla,2191000.0
Crows Nest,2252571.4285714286
Croydon,1612777.7777777778
Curl Curl,2893000.0
Currans Hill,753333.3333333334
Daceyville,1542833.3333333333
Daleys Point,2145666.6666666665
Darlinghurst,1815785.7142857143
Darlington,2067285.7142857143
Davidson,2125621.4285714286
Davistown,1417333.3333333333
Dean Park,1185000.0
